rule_id,rule_name,category,condition,risk_level,weight,legal_basis,question_to_ask,created_at,updated_at,version,effective_date,expiry_date,is_active,source,source_url,imported_at,review_status
RR001,费用不透明-存在额外费用,cost_transparency,"{""field"": ""data.costAnalysis.additionalFees"", ""operator"": "">"", ""value"": 0}",high,24,中国人民银行公告〔2021〕第3号；《民法典》第496条,请机构列明所有费用项目，并说明是否计入明示年化利率。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR002,服务费一次性扣除,cost_transparency,"{""clauses_contains_any"": [""服务费"", ""一次性扣除"", ""放款金额中扣除""]}",high,22,《民法典》第670条；《关于进一步规范信贷融资收费降低企业融资综合成本的通知》,请机构说明服务费扣除依据、金额和是否属于变相预扣利息。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR003,管理费未纳入成本,cost_transparency,"{""clauses_contains_any"": [""管理费"", ""账户管理"", ""贷后管理费""]}",medium,14,中国人民银行公告〔2021〕第3号,请机构说明管理费是否纳入综合融资成本和真实年化利率。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR004,咨询费或顾问费异常,cost_transparency,"{""clauses_contains_any"": [""咨询费"", ""顾问费"", ""信息服务费""]}",medium,14,《消费者权益保护法》第8条,请机构说明咨询服务的具体内容、定价依据和取消方式。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR005,担保费或保证金另收,cost_transparency,"{""clauses_contains_any"": [""担保费"", ""保证金"", ""履约保证""]}",medium,16,《民法典》合同编；金融消费者权益保护规则,请机构说明担保费是否必要、是否可退、是否影响贷款审批。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR006,保险费疑似强制,cost_transparency,"{""clauses_contains_any"": [""保险费"", ""保障服务费"", ""必须购买保险""]}",medium,15,《银行保险机构消费者权益保护管理办法》,请机构说明保险是否自愿购买，取消后是否影响贷款。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR007,砍头息-到账低于本金,cost_transparency,"{""left"": ""data.contractSummary.actualReceivedAmount"", ""operator"": ""<"", ""right"": ""data.contractSummary.loanAmount""}",high,25,《民法典》第670条,请机构说明实际到账金额低于合同本金的原因和扣费依据。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR008,费用名称模糊,cost_transparency,"{""clauses_contains_any"": [""其他费用"", ""相关费用"", ""综合费用"", ""平台费用""]}",medium,12,《民法典》第496条；《消费者权益保护法》第8条,请机构逐项解释费用名称、金额、收取时间和退费条件。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR009,名义免息但有手续费,interest_fee,"{""clauses_contains_all"": [""免息""], ""clauses_contains_any"": [""手续费"", ""服务费"", ""分期费""]}",high,23,中国人民银行公告〔2021〕第3号,请机构把手续费折算为真实年化成本并书面说明。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR010,真实年化超过24%,interest_fee,"{""field"": ""data.costAnalysis.realAnnualRate"", ""operator"": "">"", ""value"": 24}",high,25,最高人民法院民间借贷利率司法政策；金融消费者权益保护规则,请机构说明真实年化利率计算口径和是否包含全部费用。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR011,真实年化超过36%,interest_fee,"{""field"": ""data.costAnalysis.realAnnualRate"", ""operator"": "">"", ""value"": 36}",high,35,最高人民法院关于民间借贷案件适用法律若干问题的规定,请机构说明是否存在超过司法保护上限的利息或费用。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR012,真实年化高于名义利率10个百分点,interest_fee,"{""left"": ""data.costAnalysis.realAnnualRate"", ""operator"": "">"", ""right"": ""data.contractSummary.nominalRate"", ""delta"": 10}",high,22,中国人民银行公告〔2021〕第3号,请机构解释名义利率和真实年化差异的来源。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR013,IRR口径未披露,interest_fee,"{""clauses_contains_any"": [""IRR"", ""内部收益率"", ""折算年化""], ""clauses_not_contains_any"": [""计算公式"", ""现金流""]}",medium,12,中国人民银行公告〔2021〕第3号,请机构提供IRR现金流、计算公式和费用纳入口径。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR014,日利率月利率混用,interest_fee,"{""clauses_contains_any"": [""日利率"", ""月利率"", ""按日计息""]}",medium,10,《消费者权益保护法》第8条,请机构把日利率、月利率统一折算成年化利率。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR015,LPR倍数偏高,interest_fee,"{""field"": ""data.costAnalysis.realAnnualRate"", ""operator"": "">"", ""value"": 15}",medium,12,贷款市场报价利率管理规则；中国人民银行公告〔2021〕第3号,请机构说明该产品利率相对同期LPR的倍数和定价依据。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR016,复利或利滚利表述,interest_fee,"{""clauses_contains_any"": [""复利"", ""利滚利"", ""按月复计""]}",high,22,《民法典》公平原则；金融消费者权益保护规则,请机构说明是否对利息、罚息再计息。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR017,提前还款收手续费,prepayment,"{""field"": ""data.contractSummary.prepaymentRule"", ""operator"": ""contains_any"", ""value"": [""手续费"", ""提前结清费""]}",medium,15,《民法典》第677条,请机构说明提前结清费用计算方式和已收费用退还规则。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR018,提前还款收违约金,prepayment,"{""field"": ""data.contractSummary.prepaymentRule"", ""operator"": ""contains_any"", ""value"": [""违约金"", ""补偿金""]}",medium,15,《民法典》第677条,请机构说明提前还款违约金上限和减免费条件。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR019,提前还款需审批,prepayment,"{""field"": ""data.contractSummary.prepaymentRule"", ""operator"": ""contains_any"", ""value"": [""需审批"", ""经同意"", ""申请通过""]}",medium,10,《民法典》第677条,请机构说明审批标准、处理时限和拒绝提前还款的依据。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
RR020,提前还款仍收全期利息,prepayment,"{""clauses_contains_any"": [""仍按全部期限计收"", ""已收利息不退"", ""剩余利息照收""]}",high,22,《民法典》第677条,请机构说明提前还款后利息是否按实际借款期间计算。,2026-07-04,2026-07-04,1,2026-07-04,,1,seed,,2026-07-04,approved
